Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Peter Aldred,Male,United Kingdom,0 days 01:45:50,0 days 00:09:22,0 days 07:57:06,0 days 00:09:22,0 days 07:06:04,0 days 17:07:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Chris Harrison,Male,United Kingdom,0 days 01:51:20,0 days 00:10:36,0 days 07:44:12,0 days 00:10:36,0 days 07:13:45,0 days 17:10:30,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Brian Welsh,Male,United Kingdom,0 days 02:04:05,0 days 00:11:25,0 days 07:38:05,0 days 00:11:25,0 days 07:06:45,0 days 17:11:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Stacey Eccles,Female,United Kingdom,0 days 01:42:34,0 days 00:11:36,0 days 07:59:14,0 days 00:11:36,0 days 07:06:45,0 days 17:11:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Emily Thompson,Female,United Kingdom,0 days 01:48:56,0 days 00:06:39,0 days 08:15:06,0 days 00:06:39,0 days 06:54:50,0 days 17:12:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Petter Guttormsen,Male,Norway,0 days 02:14:35,0 days 00:08:42,0 days 07:39:08,0 days 00:08:42,0 days 07:03:07,0 days 17:14:15,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Jean-Emmanuel G̩rouard,Male,France,0 days 01:19:35,0 days 00:05:10,0 days 08:46:17,0 days 00:05:10,0 days 07:00:58,0 days 17:17:11,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Andreas Rieger,Male,Germany,0 days 02:44:25,0 days 00:10:02,0 days 07:12:03,0 days 00:10:02,0 days 07:03:08,0 days 17:19:40,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Oddvin Kollbotn,Male,Norway,0 days 02:32:25,0 days 00:07:50,0 days 07:30:52,0 days 00:07:50,0 days 07:01:53,0 days 17:20:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Stephen Ransom,Male,USA,0 days 01:52:18,0 days 00:12:12,0 days 07:47:15,0 days 00:12:12,0 days 07:17:23,0 days 17:21:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Elizabeth Ransom,Female,USA,0 days 02:01:03,0 days 00:06:48,0 days 08:17:05,0 days 00:06:48,0 days 06:49:35,0 days 17:21:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Neill Dallaway,Male,United Kingdom,0 days 02:08:55,0 days 00:08:40,0 days 08:03:36,0 days 00:08:40,0 days 06:52:30,0 days 17:22:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Thorsten Gast,Male,Germany,0 days 01:39:55,0 days 00:06:56,0 days 07:47:30,0 days 00:06:56,0 days 07:42:34,0 days 17:23:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Gry Haugsnes ,Female,Norway,0 days 02:03:12,0 days 00:06:18,0 days 08:00:40,0 days 00:06:18,0 days 07:08:51,0 days 17:25:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Stian Vatnedal,Male,Norway,0 days 01:49:25,0 days 00:08:26,0 days 08:22:35,0 days 00:08:26,0 days 06:57:42,0 days 17:26:35,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
